from,to,weight,relation,show,time,love,sendegruppe,kanal,staffel
sd,a,1,1,KdRs,2025,,1,2,1
gf,a,1,1,KdRs,2025,,1,2,1
dl,as,2,1,KdRs,2025,,1,2,1
jh,ar,2,1,KdRs,2025,,1,2,1
as,ln,2,1,KdRs,2025,,1,2,1
dw,as,2,1,KdRs,2025,,1,2,1
ar,ln,2,1,KdRs,2025,,1,2,1
ln,ar,2,1,KdRs,2025,,1,2,1
ms,as,2,1,KdRs,2025,,1,2,1
hs,as,2,1,KdRs,2025,,1,2,1
ck,as,1,1,KdRs,2025,,1,2,1
al,as,1,1,KdRs,2025,,1,2,1
co,dw,1,1,KdRs,2025,,1,2,1
p,dw,1,1,KdRs,2025,,1,2,1
gf,ms,2,1,KdRs,2025,,1,2,1
ck,hs,2,1,KdRs,2025,,1,2,1
sd,ar,2,1,KdRs,2025,,1,2,1
jh,ms,2,1,KdRs,2025,,1,2,1
ar,sd,2,1,KdRs,2025,,1,2,1
dl,hs,2,1,KdRs,2025,,1,2,1
hs,ms,2,1,KdRs,2025,,1,2,1
ms,hs,2,1,KdRs,2025,,1,2,1
al,ms,2,1,KdRs,2025,,1,2,1
sfw,hs,1,1,KdRs,2025,,1,2,1
ma,hs,1,1,KdRs,2025,,1,2,1
gf,co,2,1,KdRs,2025,,1,2,1
p,al,2,1,KdRs,2025,,1,2,1
ar,ms,2,1,KdRs,2025,,1,2,1
ms,ar,2,1,KdRs,2025,,1,2,1
al,co,2,1,KdRs,2025,,1,2,1
co,al,2,1,KdRs,2025,,1,2,1
ck,co,2,1,KdRs,2025,,1,2,1
jh,ms,2,1,KdRs,2025,,1,2,1
sd,al,2,1,KdRs,2025,,1,2,1
dl,co,2,1,KdRs,2025,,1,2,1
tt,ms,1,1,KdRs,2025,,1,2,1
js,ms,1,1,KdRs,2025,,1,2,1
ck,sd,2,1,KdRs,2025,,1,2,1
dl,sd,2,1,KdRs,2025,,1,2,1
gf,ck,2,1,KdRs,2025,,1,2,1
jh,ck,2,1,KdRs,2025,,1,2,1
js,sd,2,1,KdRs,2025,,1,2,1
ma,ck,2,1,KdRs,2025,,1,2,1
p,dl,2,1,KdRs,2025,,1,2,1
sd,dl,2,1,KdRs,2025,,1,2,1
tt,ck,2,1,KdRs,2025,,1,2,1
ar,ck,2,1,KdRs,2025,,1,2,1
bk,ar,2,1,KdRs,2025,,1,2,1
ck,ar,2,1,KdRs,2025,,1,2,1
dl,ar,2,1,KdRs,2025,,1,2,1
ff,ck,2,1,KdRs,2025,,1,2,1
gf,ck,2,1,KdRs,2025,,1,2,1
jh,ar,2,1,KdRs,2025,,1,2,1
js,ar,2,1,KdRs,2025,,1,2,1
ll,ar,2,1,KdRs,2025,,1,2,1
ma,ar,2,1,KdRs,2025,,1,2,1
p,ck,2,1,KdRs,2025,,1,2,1
sd,ck,2,1,KdRs,2025,,1,2,1
tt,ck,2,1,KdRs,2025,,1,2,1
bk,sd,2,1,KdRs,2025,,1,2,1
dl,sd,2,1,KdRs,2025,,1,2,1
ff,bk,2,1,KdRs,2025,,1,2,1
gf,sd,2,1,KdRs,2025,,1,2,1
jh,sd,2,1,KdRs,2025,,1,2,1
js,sd,2,1,KdRs,2025,,1,2,1
ll,sd,2,1,KdRs,2025,,1,2,1
ma,bk,2,1,KdRs,2025,,1,2,1
p,bk,2,1,KdRs,2025,,1,2,1
sd,bk,2,1,KdRs,2025,,1,2,1
tt,sd,2,1,KdRs,2025,,1,2,1
a,gf,2,1,KdRs,2025,,1,2,1
as,gf,2,1,KdRs,2025,,1,2,1
ar,jh,2,1,KdRs,2025,,1,2,1
bk,ma,2,1,KdRs,2025,,1,2,1
ck,jh,2,1,KdRs,2025,,1,2,1
dw,p,2,1,KdRs,2025,,1,2,1
dl,p,2,1,KdRs,2025,,1,2,1
ff,js,2,1,KdRs,2025,,1,2,1
gf,bk,2,1,KdRs,2025,,1,2,1
jh,p,2,1,KdRs,2025,,1,2,1
js,jh,2,1,KdRs,2025,,1,2,1
ll,bk,2,1,KdRs,2025,,1,2,1
ln,jh,2,1,KdRs,2025,,1,2,1
ma,bk,2,1,KdRs,2025,,1,2,1
ms,jh,2,1,KdRs,2025,,1,2,1
p,jh,2,1,KdRs,2025,,1,2,1
sfw,jh,2,1,KdRs,2025,,1,2,1
sd,jh,2,1,KdRs,2025,,1,2,1
tt,bk,2,1,KdRs,2025,,1,2,1
BWM,ak,,2,KdRs,,,,,
BR,al,,2,KdRs,,,,,
RP,ar,,2,KdRs,,,,,
km,bk,,2,KdRs,,,,,
RTM,co,,2,KdRs,,,,,
SG,dw,,2,KdRs,,,,,
R,dl,,2,KdRs,,,,,
K3,ff,,2,KdRs,,,,,
AM,hs,,2,KdRs,,,,,
PPA,js,,2,KdRs,,,,,
H,ln,,2,KdRs,,,,,
RW,ma,,2,KdRs,,,,,
S,ms,,2,KdRs,,,,,
H,tt,,2,KdRs,,,,,
S&S,p,,2,KdRs,,,,,
hs,dw,,,KdRs,2025,2,1,2,1
dw,hs,,,KdRs,2025,2,1,2,1
ll,ck,,,KdRs,2025,2,1,2,1
ck,ll,,,KdRs,2025,2,1,2,1
